Vendedor,SKU,Sexo,Tags,Vendedor,Nombre,Marca,Talla,Categoría,Subcategoría,Estilo,Estilo 2 (opcional),Color,Color (opcional),Precio Influ,Inventory,# Fotos,Precio Final,Fecha,Descripción
#1073,3.1073.18,Woman,"Woman, Zara, S, Vestidos, Vestidos largos, Casual, Beige, Multicolor",Nuria Blanco,Vestido beige de rayas ,Zara,S,Vestidos,Vestidos largos,Casual,,Beige,Multicolor,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.19,Woman,"Woman, Colourful Rebel, S, Sudaderas, sin capucha, Streetwear, Azul",Nuria Blanco,Sudadera azul estampada ,Colourful Rebel,S,Sudaderas,sin capucha,Streetwear,,Azul,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.20,Woman,"Woman, American Eagle, XS/S, Jerséis | Cárdigans, Comfy, Blanco",Nuria Blanco,Jersey blanco rayas colores ,American Eagle,XS/S,Jerséis | Cárdigans,,Comfy,,Blanco,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.21,Woman,"Woman, Designer Society , S, Abrigos | Chaquetas, Chaquetas | Cazadoras, Casual, Streetwear, Beige",Nuria Blanco,Chaqueta beige acolchada ,Designer Society ,S,Abrigos | Chaquetas,Chaquetas | Cazadoras,Casual,Streetwear,Beige,,"52,97",cubyn-fulfillment,3,"68,99",,
#1073,3.1073.22,Woman,"Woman, Russell, XXL, Sudaderas, sin capucha, Streetwear, Azul",Nuria Blanco,Sudadera azul ,Russell,XXL,Sudaderas,sin capucha,Streetwear,,Azul,,"7,67",cubyn-fulfillment,3,"9,99",,
#1073,3.1073.23,Woman,"Woman, Kaporal, S, Camisetas, Streetwear, Verde",Nuria Blanco,Camiseta verde fluida ,Kaporal,S,Camisetas,,Streetwear,,Verde,,"5,37",cubyn-fulfillment,3,"6,99",,
#1073,3.1073.24,Woman,"Woman, Otras marcas, S/M, Tops, Crop tops, Streetwear, Verde",Nuria Blanco,Top verde detalle en mangas ,Otras marcas,S/M,Tops,Crop tops,Streetwear,,Verde,,"6,90",cubyn-fulfillment,3,"8,99",,
#1073,3.1073.25,Woman,"Woman, Pimkie, 36, Vestidos, Vestidos mini, Casual, Boho, Negro",Nuria Blanco,Vestido negro fluido NUEVO,Pimkie,36,Vestidos,Vestidos mini,Casual,Boho,Negro,,"13,04",cubyn-fulfillment,3,"16,99",,
#1073,3.1073.26,Woman,"Woman, Bershka, S, Tops, Bodies, Streetwear, Verde",Nuria Blanco,Body verde estampado flores ,Bershka,S,Tops,Bodies,Streetwear,,Verde,,"5,37",cubyn-fulfillment,3,"6,99",,
#1073,3.1073.27,Woman,"Woman, Zara, S, Tops, Crop tops, Streetwear, Marrón",Nuria Blanco,Top marrón de canalé,Zara,S,Tops,Crop tops,Streetwear,,Marrón,,"5,37",cubyn-fulfillment,3,"6,99",,
